,customer,state,customer lifetime value,education,gender,income,monthly premium auto,number of open complaints,policy type,total claim amount,vehicle class
72,BV91898,Arizona,30141,Bachelor,F,0,103,0,Personal Auto,1060,SUV
73,WQ54314,Oregon,5737,Bachelor,F,56455,73,2,Personal Auto,350,Four-Door Car
74,NM57315,California,16979,Bachelor,M,35095,73,0,Special Auto,525,Two-Door Car
75,JB51220,Oregon,10915,High School or Below,F,0,155,1,Corporate Auto,1116,Sports Car
76,EN77569,Oregon,3808,College,F,94903,94,0,Special Auto,451,Two-Door Car
77,YP47665,Washington,5408,Doctor,M,80192,67,0,Personal Auto,95,Four-Door Car
78,QO54008,Oregon,13419,Master,M,0,122,0,Personal Auto,827,SUV
79,EQ59908,California,3237,Master,M,60244,83,3,Corporate Auto,326,Four-Door Car
80,YU72540,Arizona,10357,College,F,52735,65,0,Personal Auto,123,Four-Door Car
81,BZ50261,Arizona,11619,High School or Below,F,78275,72,0,Personal Auto,25,Two-Door Car
82,QE92747,Oregon,8209,Bachelor,F,77282,102,0,Corporate Auto,489,Four-Door Car
83,KG83280,California,3096,College,F,21604,79,0,Personal Auto,379,Four-Door Car
84,IL42365,Arizona,4804,High School or Below,F,51962,125,4,Personal Auto,788,Sports Car
85,FI86516,Oregon,4786,Bachelor,F,0,68,0,Corporate Auto,489,Four-Door Car
86,FV14881,California,15886,Doctor,F,56362,197,1,Personal Auto,945,Luxury SUV
87,RR54950,Arizona,5285,College,M,85753,66,1,Special Auto,316,Four-Door Car
88,FC70869,Arizona,2945,High School or Below,F,36167,76,3,Personal Auto,364,Two-Door Car
89,PB60303,Oregon,18089,Master,F,68568,223,1,Personal Auto,1070,Luxury Car
90,HO50571,California,10208,College,F,35482,129,0,Personal Auto,619,SUV
91,BH86846,Washington,20708,High School or Below,M,92079,65,1,Corporate Auto,114,Four-Door Car
92,PC42162,Oregon,5247,Bachelor,M,0,77,0,Personal Auto,554,Two-Door Car
93,KD21661,California,5179,College,M,0,165,2,Personal Auto,1188,SUV
94,FZ73016,California,4513,Bachelor,F,34558,113,0,Personal Auto,376,SUV
95,HJ19927,Nevada,5297,Master,M,14775,69,0,Personal Auto,170,Four-Door Car
96,RJ99408,California,5377,High School or Below,M,35637,68,0,Personal Auto,326,Four-Door Car
97,EL81968,Oregon,7661,Bachelor,M,66726,97,1,Personal Auto,335,Two-Door Car
98,WU86174,California,2677,Bachelor,F,0,72,0,Personal Auto,345,Four-Door Car
99,DN21342,Oregon,6877,College,F,0,96,0,Personal Auto,460,Four-Door Car
100,PB60406,California,5714,Doctor,F,79719,71,0,Personal Auto,425,Four-Door Car
101,IY37465,Arizona,4929,Bachelor,M,25632,63,0,Corporate Auto,351,Two-Door Car
102,LF55270,Oregon,10484,College,F,61108,89,0,Personal Auto,49,Four-Door Car
103,UV69038,California,9490,College,M,0,137,0,Corporate Auto,657,SUV
104,IS63925,Arizona,7805,College,F,21073,106,1,Personal Auto,508,SUV
105,CQ21583,Oregon,21274,Doctor,M,17932,79,0,Personal Auto,379,Four-Door Car
106,PR21713,Nevada,5838,High School or Below,M,81082,73,0,Personal Auto,281,Four-Door Car
107,XE10977,Oregon,2677,High School or Below,F,71684,66,0,Personal Auto,196,Two-Door Car
108,JG87029,Oregon,2374,High School or Below,M,57338,61,0,Personal Auto,292,Two-Door Car
109,BK21146,Arizona,22103,College,M,0,102,0,Personal Auto,489,SUV
110,WE19034,Oregon,2427,College,M,24409,62,0,Corporate Auto,297,Four-Door Car
111,DF62718,California,7294,High School or Below,F,83488,90,0,Personal Auto,432,Four-Door Car
112,MS59254,Washington,11360,High School or Below,M,0,104,0,Corporate Auto,773,Two-Door Car
113,WC65050,California,2811,Master,F,62537,71,1,Personal Auto,354,Two-Door Car
114,ST27958,Washington,4386,College,M,10621,67,0,Personal Auto,321,Four-Door Car
115,XZ81226,Arizona,6446,Bachelor,F,43478,80,0,Personal Auto,384,Four-Door Car
116,TU53781,Oregon,8427,Bachelor,F,46503,215,1,Corporate Auto,1032,Luxury SUV
117,GC93551,Oregon,5290,High School or Below,F,27179,66,0,Personal Auto,344,Four-Door Car
118,MO33279,California,5592,College,F,62229,70,0,Personal Auto,336,Two-Door Car
119,LD20926,Arizona,18892,Bachelor,F,0,92,1,Personal Auto,441,Two-Door Car
120,PW90662,Oregon,13623,College,M,67060,126,4,Personal Auto,339,SUV
121,WS53288,Oregon,25464,College,F,13663,97,0,Personal Auto,465,Four-Door Car
122,HE84643,California,2175,High School or Below,F,0,63,0,Personal Auto,453,Four-Door Car
123,CL37990,Arizona,6699,Bachelor,F,0,99,1,Corporate Auto,699,Four-Door Car
124,HR87252,California,9043,Bachelor,F,97745,113,0,Personal Auto,695,Sports Car
125,SB27146,Oregon,4369,High School or Below,F,26026,116,1,Personal Auto,283,Two-Door Car
126,KI58952,California,51337,College,F,72794,164,1,Personal Auto,50,SUV
127,RM21896,Oregon,28699,College,F,47730,91,0,Personal Auto,219,Four-Door Car
128,JS38272,Arizona,4270,College,M,0,122,0,Personal Auto,725,SUV
129,NJ15094,Washington,5345,Bachelor,F,0,72,0,Personal Auto,345,Four-Door Car
130,MZ88454,Oregon,4774,Bachelor,F,0,70,0,Personal Auto,336,Four-Door Car
131,PO27978,Oregon,14727,Doctor,F,97785,73,0,Personal Auto,236,Two-Door Car
132,VT28596,California,4755,High School or Below,F,0,66,0,Personal Auto,712,Four-Door Car
133,TI19722,Washington,3436,Doctor,M,30817,88,0,Corporate Auto,91,Four-Door Car
134,DO83038,California,8355,College,F,64502,70,0,Personal Auto,39,Two-Door Car
135,AG62087,California,3412,Bachelor,M,30335,87,0,Corporate Auto,326,Four-Door Car
136,BA56812,Oregon,6185,Master,M,21020,80,0,Corporate Auto,178,Four-Door Car
137,QF74147,California,8456,College,F,84574,70,0,Special Auto,167,Four-Door Car
138,RN88075,Washington,3021,Bachelor,F,0,84,0,Personal Auto,700,Two-Door Car
139,OG71924,Oregon,6966,Master,F,0,93,0,Personal Auto,436,Four-Door Car
140,YF87007,Oregon,10083,High School or Below,F,11828,90,0,Corporate Auto,571,Four-Door Car
141,ZL18631,Arizona,2539,College,F,54889,63,0,Personal Auto,302,Four-Door Car
142,BZ71120,Oregon,8456,College,F,89918,105,0,Personal Auto,367,SUV
143,UP60200,California,26576,Bachelor,M,87002,110,0,Personal Auto,199,Two-Door Car
144,XZ64172,Oregon,10963,High School or Below,M,55687,276,0,Corporate Auto,1324,Luxury SUV
145,CA47176,Oregon,9671,Bachelor,M,17103,87,0,Personal Auto,417,Two-Door Car
146,CI68869,Arizona,1898,College,F,0,70,5,Personal Auto,702,Two-Door Car
147,XT10744,Arizona,8595,College,M,28441,73,0,Special Auto,686,Two-Door Car
148,HT48275,Oregon,5532,Bachelor,M,91212,69,0,Personal Auto,270,Two-Door Car
149,HB48073,Arizona,9371,Bachelor,F,66325,117,0,Corporate Auto,497,SUV
150,MD43085,Oregon,3975,Doctor,F,67895,101,4,Personal Auto,403,Four-Door Car
151,NJ11986,Arizona,4456,Master,F,29550,114,1,Corporate Auto,118,Two-Door Car
152,HH55884,Arizona,3495,College,M,10275,97,0,Personal Auto,465,Four-Door Car
153,JP69867,Nevada,8512,College,M,61725,106,0,Personal Auto,508,Four-Door Car
154,FT86104,California,4650,College,M,28215,65,0,Corporate Auto,468,Two-Door Car
155,GV39658,Arizona,13523,College,F,10563,121,0,Corporate Auto,109,SUV
156,GB66110,California,4422,Bachelor,M,0,62,0,Personal Auto,722,Two-Door Car
157,VD51297,California,7320,College,M,99722,61,0,Personal Auto,292,Four-Door Car
158,EP29567,Washington,7031,Master,M,16224,93,0,Corporate Auto,498,Four-Door Car
159,PE59368,Washington,5123,Bachelor,F,72096,64,0,Personal Auto,252,Two-Door Car
160,DQ50538,Nevada,9050,Bachelor,M,63800,113,0,Personal Auto,542,SUV
161,WP58340,Arizona,10963,High School or Below,M,55687,276,0,Personal Auto,1324,Luxury SUV
162,TM23788,California,6039,High School or Below,M,0,89,1,Personal Auto,640,Four-Door Car
163,UF44021,California,2108,Bachelor,M,0,61,0,Personal Auto,351,Two-Door Car
164,WB96917,California,9875,College,M,29598,87,0,Personal Auto,150,Two-Door Car
165,MN95006,California,6928,Bachelor,M,22907,180,2,Personal Auto,49,Luxury SUV
166,NP60037,Oregon,14318,Bachelor,M,22697,186,1,Corporate Auto,892,Luxury SUV
167,NQ71171,California,5107,Bachelor,M,70174,64,0,Personal Auto,128,Four-Door Car
168,SM58898,California,17223,High School or Below,F,85378,107,0,Corporate Auto,513,SUV
169,FN98595,Nevada,7516,High School or Below,F,31477,94,0,Special Auto,146,Four-Door Car
170,TW94555,Nevada,5389,College,M,66429,136,0,Personal Auto,57,Sports Car
171,XW60886,California,6275,High School or Below,M,0,90,0,Personal Auto,900,Four-Door Car
172,IE84844,Nevada,4722,High School or Below,F,0,65,0,Personal Auto,655,Four-Door Car
173,HY76810,Oregon,6282,Bachelor,F,0,172,0,Corporate Auto,141,SUV
174,JL41129,California,7986,Bachelor,M,74217,100,0,Personal Auto,418,SUV
175,OQ41280,Nevada,6503,High School or Below,M,46298,88,3,Corporate Auto,128,Four-Door Car
176,AP65984,Oregon,4881,College,F,0,135,0,Personal Auto,648,SUV
177,EE99484,Washington,2514,High School or Below,F,43860,65,0,Corporate Auto,156,Four-Door Car
178,XM39121,Arizona,7955,College,F,0,69,0,Personal Auto,331,Four-Door Car
179,DK49336,Arizona,4809,College,M,48029,61,0,Corporate Auto,292,Four-Door Car
180,HB43486,Washington,9696,College,F,86830,123,0,Personal Auto,480,SUV
181,KB15252,Arizona,8709,College,F,0,77,0,Personal Auto,509,Two-Door Car
182,BN83547,Nevada,2858,High School or Below,F,40706,71,0,Personal Auto,166,Four-Door Car
183,MC55901,California,5233,High School or Below,F,69231,65,0,Personal Auto,193,Four-Door Car
184,PZ98142,Arizona,13494,College,F,0,132,0,Personal Auto,950,SUV
185,GB43363,Oregon,6870,College,M,0,105,0,Personal Auto,756,Four-Door Car
186,TH67541,Arizona,5652,High School or Below,F,16171,74,0,Corporate Auto,311,Four-Door Car
187,WC21901,Arizona,2345,College,M,51397,61,0,Personal Auto,292,Four-Door Car
188,CL38124,Oregon,19688,Bachelor,F,83879,69,0,Personal Auto,212,Four-Door Car
189,XH89851,California,7247,College,F,63267,92,0,Personal Auto,530,Four-Door Car
190,KA58700,Nevada,6085,College,M,44712,82,2,Corporate Auto,537,Four-Door Car
191,ZB40259,California,5480,Doctor,M,59311,69,0,Corporate Auto,14,Four-Door Car
192,JV63229,Arizona,6876,Bachelor,M,81957,86,0,Personal Auto,433,Four-Door Car
193,SI31035,Arizona,5368,Doctor,M,59601,67,0,Personal Auto,321,Four-Door Car
194,JW30054,Oregon,8283,High School or Below,M,71034,103,0,Corporate Auto,494,Four-Door Car
195,AP56340,Washington,5384,Bachelor,M,13103,72,0,Personal Auto,458,Four-Door Car
196,FN44127,Oregon,3508,College,M,20978,98,1,Personal Auto,1176,Four-Door Car
197,QE79527,California,8427,Bachelor,F,46503,215,1,Personal Auto,1032,Luxury SUV
198,UP36767,California,4553,College,M,61064,113,0,Personal Auto,539,SUV
199,PG43749,Oregon,4318,College,F,17572,110,0,Personal Auto,639,Two-Door Car
200,LL96228,Oregon,14091,Master,M,99823,116,0,Corporate Auto,250,SUV
201,OV40993,Nevada,8693,College,F,17453,118,1,Personal Auto,566,SUV
202,MA80983,Oregon,6661,College,M,55663,166,0,Personal Auto,194,SUV
203,SA54664,Washington,2654,Master,M,73196,66,1,Personal Auto,85,Four-Door Car
204,TW12556,Oregon,4428,High School or Below,F,58577,110,0,Personal Auto,303,SUV
205,TC88451,Nevada,5738,High School or Below,F,88055,71,0,Personal Auto,337,Four-Door Car
206,BL93659,California,5815,Bachelor,M,0,80,0,Personal Auto,384,Four-Door Car
207,SI20178,California,4425,High School or Below,M,80892,110,0,Personal Auto,528,SUV
208,KC50464,Arizona,2574,Master,F,34990,65,0,Corporate Auto,42,Four-Door Car
209,HG64216,California,2832,College,M,37124,72,0,Personal Auto,430,Two-Door Car
210,XM91056,California,4876,High School or Below,F,22236,62,0,Personal Auto,409,Two-Door Car
211,KN13494,Washington,5181,Master,F,97131,64,0,Personal Auto,307,Four-Door Car
212,OC47565,Oregon,5947,College,F,67760,74,0,Special Auto,465,Four-Door Car
213,HH14259,Arizona,2563,Bachelor,F,0,69,0,Personal Auto,97,Four-Door Car
214,QF66741,Nevada,15144,College,M,0,62,1,Personal Auto,307,Two-Door Car
215,LY46898,California,5558,High School or Below,M,37473,70,0,Corporate Auto,336,Four-Door Car
216,MK73855,Washington,8109,High School or Below,F,32314,68,0,Personal Auto,326,Four-Door Car
217,HU82227,Arizona,15638,College,M,49214,102,3,Corporate Auto,371,Four-Door Car
218,FF75737,Oregon,8334,High School or Below,F,49851,69,1,Personal Auto,331,Four-Door Car
219,KJ50265,Washington,10418,High School or Below,M,27951,91,0,Personal Auto,436,Four-Door Car
220,OQ82364,Nevada,6846,Bachelor,F,0,95,0,Corporate Auto,456,Two-Door Car
221,SO47345,Arizona,9403,Master,F,56410,117,0,Personal Auto,523,SUV
222,JN51592,Arizona,16985,Bachelor,F,22497,212,0,Special Auto,1017,Luxury Car
223,FH36069,Arizona,21101,College,F,61347,106,0,Personal Auto,604,SUV
224,ZW32080,Nevada,2914,Bachelor,F,37803,74,0,Personal Auto,355,Four-Door Car
225,ZH98656,Nevada,8593,Master,F,91276,105,0,Personal Auto,504,SUV
226,GZ31904,Oregon,6861,College,M,30816,87,0,Personal Auto,237,Two-Door Car
227,PN47493,Oregon,2680,College,F,41968,67,0,Corporate Auto,183,Four-Door Car
228,CX18273,Arizona,15797,Master,M,35754,199,0,Personal Auto,612,Luxury Car
229,IG80173,California,2863,Master,F,36706,71,0,Personal Auto,435,Four-Door Car
230,JG76775,Washington,30061,High School or Below,M,48258,249,0,Personal Auto,1195,Luxury Car
231,JR82641,Arizona,10682,Master,M,52965,134,3,Personal Auto,83,SUV
232,NW41789,Oregon,2746,Bachelor,M,0,84,0,Personal Auto,604,Four-Door Car
233,VG74039,Oregon,2388,Bachelor,F,0,65,0,Personal Auto,455,Four-Door Car
234,DV27428,Oregon,13776,High School or Below,M,62634,116,0,Personal Auto,122,SUV
235,AN57220,Oregon,17263,Bachelor,F,96917,61,0,Special Auto,71,Four-Door Car
236,VD62056,Arizona,4669,High School or Below,F,76157,116,0,Personal Auto,556,Two-Door Car
237,AH92481,California,4673,College,F,53219,117,0,Corporate Auto,561,SUV
238,LX97765,Arizona,4347,College,F,81412,109,0,Personal Auto,344,Two-Door Car
239,JP82211,California,33873,College,F,59744,105,0,Personal Auto,476,SUV
240,SI88726,California,9100,College,F,38898,117,0,Corporate Auto,561,SUV
241,MG46007,California,6358,High School or Below,M,0,94,2,Personal Auto,17,Four-Door Car
242,GL69461,Oregon,2628,College,F,99961,66,2,Personal Auto,316,Four-Door Car
243,RA63927,Oregon,7193,High School or Below,M,30886,91,0,Personal Auto,103,Two-Door Car
244,UE76013,Washington,5039,Master,F,35984,128,3,Personal Auto,275,SUV
245,RI35792,Nevada,3962,College,F,0,125,4,Personal Auto,539,SUV
246,WL63802,California,6425,High School or Below,M,0,181,0,Personal Auto,1303,Luxury Car
247,KZ29413,Oregon,15672,Master,M,0,139,0,Personal Auto,667,SUV
248,SN23932,Arizona,3237,Master,M,60244,83,3,Personal Auto,326,Four-Door Car
249,YW26148,California,12992,High School or Below,F,0,72,0,Personal Auto,518,Four-Door Car
250,LS51818,California,22217,College,F,37553,187,0,Personal Auto,897,Luxury Car
251,ZG47195,Nevada,4931,College,M,0,73,0,Personal Auto,525,Four-Door Car
252,No50634,Oregon,4330,College,M,60475,107,0,Personal Auto,513,Four-Door Car
253,GC42314,Arizona,8296,Doctor,M,0,111,0,Personal Auto,672,SUV
254,SD77009,California,8334,College,M,0,136,2,Personal Auto,979,SUV
255,OW85480,California,5348,Master,M,25545,69,0,Personal Auto,331,Four-Door Car
256,SW93780,Arizona,2398,Master,M,24182,66,0,Personal Auto,316,Four-Door Car
257,ZW51071,Oregon,6622,High School or Below,F,80979,84,2,Personal Auto,25,Four-Door Car
258,CK74127,Arizona,4155,Bachelor,M,0,62,0,Corporate Auto,446,Four-Door Car
259,KM52241,Arizona,8430,High School or Below,F,0,74,0,Personal Auto,47,Four-Door Car
260,PE66545,Oregon,2545,Bachelor,M,29250,64,0,Personal Auto,308,Two-Door Car
261,GG70928,California,5004,Master,F,33566,63,1,Personal Auto,205,Four-Door Car
262,GI36262,Washington,2899,College,F,65247,72,0,Corporate Auto,381,Four-Door Car
263,MH85165,California,6767,High School or Below,M,39650,86,0,Personal Auto,922,Four-Door Car
264,AM26717,California,3123,Bachelor,M,0,101,4,Personal Auto,960,SUV
265,CV90092,Oregon,8184,College,M,82680,68,0,Corporate Auto,326,Four-Door Car
266,CL70684,California,7636,High School or Below,M,0,111,0,Corporate Auto,799,Two-Door Car
267,GK13851,Oregon,9227,College,M,0,129,0,Personal Auto,619,SUV
268,TQ73726,Oregon,7587,Bachelor,M,0,69,0,Personal Auto,460,Two-Door Car
269,RW65977,Arizona,2191,College,M,0,61,1,Special Auto,439,Four-Door Car
270,EY74093,Nevada,5004,High School or Below,M,86834,64,0,Corporate Auto,0,Four-Door Car
271,YG11074,Arizona,4794,Bachelor,F,46143,122,0,Personal Auto,223,SUV
272,HW65139,California,26730,Doctor,M,21275,240,0,Personal Auto,1152,Luxury SUV
273,BT49333,Arizona,4260,High School or Below,M,47746,106,0,Personal Auto,246,SUV
274,KN78424,California,15477,College,M,51675,196,0,Corporate Auto,940,Sports Car
275,TH68648,California,5126,College,M,85522,64,0,Personal Auto,165,Four-Door Car
276,GZ22403,Oregon,4068,High School or Below,M,0,63,4,Personal Auto,753,Two-Door Car
277,NU26460,Oregon,17712,College,F,0,84,0,Corporate Auto,633,Four-Door Car
278,PB21909,Oregon,9775,Bachelor,M,55632,123,0,Personal Auto,478,SUV
279,TA78865,Nevada,20534,High School or Below,M,0,93,0,Special Auto,669,Four-Door Car
280,FP23103,Oregon,5800,Bachelor,M,0,78,0,Special Auto,374,Two-Door Car
281,YK43172,Arizona,3319,Bachelor,M,69152,89,4,Personal Auto,221,Four-Door Car
282,YZ36062,Oregon,6529,Bachelor,M,13476,67,2,Corporate Auto,433,Four-Door Car
283,SJ29837,Washington,7602,High School or Below,F,0,105,0,Personal Auto,914,SUV
284,RC72799,Oregon,2839,College,F,33252,71,0,Personal Auto,407,Four-Door Car
285,AN67558,Nevada,3288,College,M,0,102,1,Personal Auto,734,SUV
286,EQ62488,Oregon,15031,College,F,59456,189,0,Personal Auto,907,Luxury Car
287,OA92714,California,5055,Bachelor,F,88989,63,1,Personal Auto,232,Four-Door Car
288,QS76805,Arizona,8012,High School or Below,M,0,107,0,Corporate Auto,513,SUV
289,PQ46798,California,8300,College,F,17034,113,0,Personal Auto,542,Sports Car
290,IA56290,Arizona,2516,College,F,88435,62,0,Personal Auto,136,Four-Door Car
291,XU35186,California,2749,High School or Below,F,71445,70,2,Personal Auto,336,Four-Door Car
292,DR84620,California,8071,Bachelor,M,72149,101,0,Personal Auto,69,SUV
293,QG27547,Oregon,2867,Bachelor,F,23376,78,0,Personal Auto,374,Four-Door Car
294,NM95102,Oregon,7285,High School or Below,M,44788,61,0,Personal Auto,386,Four-Door Car
295,KZ26788,Washington,4118,Bachelor,F,69379,103,0,Personal Auto,494,Two-Door Car
296,GW25077,Oregon,5293,Bachelor,F,38521,134,0,Personal Auto,557,SUV
297,ZU91897,California,13265,High School or Below,M,34482,67,0,Personal Auto,83,Four-Door Car
298,ZK38095,California,2369,Bachelor,F,0,68,0,Personal Auto,487,Four-Door Car
299,TY84623,California,9816,College,M,37256,62,0,Corporate Auto,128,Four-Door Car
300,IP69763,Washington,21914,College,F,77311,181,0,Personal Auto,113,SUV
301,NF90665,Oregon,5143,Bachelor,M,39268,66,1,Personal Auto,188,Four-Door Car
302,KG53186,Nevada,3136,College,M,59644,79,0,Corporate Auto,379,Four-Door Car
303,KV57104,Oregon,7713,High School or Below,F,0,68,0,Personal Auto,326,Four-Door Car
304,ZX93551,Arizona,2867,Bachelor,F,23376,78,0,Personal Auto,374,Four-Door Car
305,TR18337,Nevada,11516,College,F,50854,73,0,Personal Auto,101,Four-Door Car
306,XV22744,Oregon,15025,Bachelor,F,35158,76,0,Personal Auto,165,Four-Door Car
307,KK27683,Nevada,4013,High School or Below,F,15413,106,0,Personal Auto,508,SUV
308,HX11651,Oregon,3288,College,M,17860,99,2,Personal Auto,656,Two-Door Car
309,FD73388,Arizona,13736,Master,F,16181,181,0,Personal Auto,1261,SUV
310,KF70569,Nevada,3890,High School or Below,M,91182,96,0,Personal Auto,249,Four-Door Car
311,CC94413,Oregon,5701,Bachelor,F,41154,72,1,Personal Auto,345,Four-Door Car
312,QO59138,Arizona,2590,High School or Below,M,18746,68,0,Personal Auto,326,Four-Door Car
313,JW58698,Oregon,3223,College,F,70277,80,0,Personal Auto,84,Four-Door Car
314,GT57081,Oregon,4912,Bachelor,F,0,66,0,Personal Auto,668,Four-Door Car
315,GU82475,California,6532,College,M,24919,84,1,Personal Auto,420,Four-Door Car
316,BG60187,Oregon,8012,Bachelor,M,0,79,0,Personal Auto,335,Four-Door Car
317,TN73558,Arizona,3731,High School or Below,F,0,96,0,Personal Auto,460,Four-Door Car
